,actual,prediction,teks
0,0,2,kpu gelar simulasi coblos milu
1,0,2,anggar verifikasi parpol serta milu rp miliar
2,0,2,mekar daerah laku paska milu
3,0,2,mekar daerah otonomi baru buka kembali usai milu
4,0,2,kenapa prabowo tidak menang milu padahal jomblo indonesia cukup banyak apa jadi jomblos pimpin oleh jomblo
5,0,2,sangat tidak nyambung anda tau tidak milu kemaren saya tidak milih sby namun saya milih kamu
6,1,2,nonton metro tv one kompas mulai ngumpulin tenaga buat mikir milu
7,1,2,pdip bukan pki asal tidak langgar konstitusi rakyat milu
8,1,2,gerindra sindir pdip soal milu
9,1,2,mau usung ibu ani amat hendri satrio nilai ani yudhoyono tidak milik maju sbg capres milu
10,1,2,jika ruu milu ditandatangani belum kontrak politik nyata tulis pdip usung jokowi sbg capres uang jokowi tipis
11,1,2,polemik kotak suara transparan milu
12,1,2, tiga anggota panwaslu tangsel milu
13,1,2,milu hanura sulsel target lima besar
14,1,2,sby prabowo bahas milu lalu
15,1,2,gandeng fpi hti suara pbb roket milu
16,3,2,wong cilik hanya milu pilpres setelah modar porah
17,3,2, tidak paham milu baru apalagi cuma cebong macem
18,3,2,hajar ndan jangan kasih kendor tu cecunguk mereka tahu diri jangan sok plng jago
19,3,2,mau milu cerita pemberhentian prabowo dasar cebong
20,3,2,nyata nyali tidak sbesar bacot kliatan bngt kualitas persis panasbung
